Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""My Account_Payment/My Account page/Login Password""), ""Eternals@123"")",Chrome 121.0.0.0,,,26-02-2024 17:40:41,26-02-2024 17:40:45,3.946s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/Login Button""))",Chrome 121.0.0.0,,,26-02-2024 17:40:45,26-02-2024 17:40:46,1.460s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/My Account""))",Chrome 121.0.0.0,,,26-02-2024 17:40:46,26-02-2024 17:40:51,4.396s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/My Haboom Account""))",Chrome 121.0.0.0,,,26-02-2024 17:40:51,26-02-2024 17:40:53,2.606s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Payments""))",Chrome 121.0.0.0,,,26-02-2024 17:40:53,26-02-2024 17:40:54,0.853s,PASSED
"click(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Withdraw""))",Chrome 121.0.0.0,,,26-02-2024 17:40:54,26-02-2024 17:40:56,2.074s,PASSED
"setText(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Withdraw amount entery field""), ""100"")",Chrome 121.0.0.0,,,26-02-2024 17:40:56,26-02-2024 17:40:57,1.143s,PASSED
"click(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Withdraw button""))",Chrome 121.0.0.0,,,26-02-2024 17:40:57,26-02-2024 17:40:58,0.598s,PASSED
"setText(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Account holder name""), ""Sherlock"")",Chrome 121.0.0.0,,,26-02-2024 17:40:58,26-02-2024 17:40:59,0.866s,PASSED
"setText(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Account number""), ""5896478963245187"")",Chrome 121.0.0.0,,,26-02-2024 17:40:59,26-02-2024 17:41:00,0.832s,PASSED
"setText(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Account IFSC code""), ""SBIN0000800"")",Chrome 121.0.0.0,,,26-02-2024 17:41:00,26-02-2024 17:41:01,0.847s,PASSED
