Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/Bank transfer page/Payments""))",Chrome 122.0.0.0,,,27-02-2024 15:18:41,27-02-2024 15:18:42,0.635s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/Bank transfer page/Deposit""))",Chrome 122.0.0.0,,,27-02-2024 15:18:42,27-02-2024 15:18:45,2.912s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/Bank transfer page/Bank Transfer""))",Chrome 122.0.0.0,,,27-02-2024 15:18:45,27-02-2024 15:18:51,6.682s,PASSED
"setText(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/Bank transfer page/Amount input field""), ""1000"")",Chrome 122.0.0.0,,,27-02-2024 15:18:51,27-02-2024 15:18:52,0.369s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/Bank transfer page/Pay button""))",Chrome 122.0.0.0,,,27-02-2024 15:18:52,27-02-2024 15:18:52,0.348s,PASSED
"setText(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/Bank transfer page/UTR number enter field""), ""54892179621539569"")",Chrome 122.0.0.0,,,27-02-2024 15:18:52,27-02-2024 15:18:53,0.380s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/Bank transfer page/UTR Submit button""))",Chrome 122.0.0.0,,,27-02-2024 15:18:53,27-02-2024 15:18:53,0.360s,PASSED
delay(2),Chrome 122.0.0.0,,,27-02-2024 15:18:53,27-02-2024 15:18:55,2.004s,PASSED
takeFullPageScreenshot(),Chrome 122.0.0.0,,,27-02-2024 15:18:55,27-02-2024 15:18:55,0.519s,PASSED
"click(findTestObject(""My Account_Payment/Transaction history page/Transaction page/Betting Activity""))",Chrome 122.0.0.0,,,27-02-2024 15:18:55,27-02-2024 15:18:56,0.289s,PASSED
"click(findTestObject(""My Account_Payment/Transaction history page/Transaction page/Transaction History""))",Chrome 122.0.0.0,,,27-02-2024 15:18:56,27-02-2024 15:18:57,1.073s,PASSED
"click(findTestObject(""My Account_Payment/Transaction history page/Transaction page/Transaction History (Options)""))",Chrome 122.0.0.0,,,27-02-2024 15:18:57,27-02-2024 15:18:58,0.744s,PASSED
"click(findTestObject(""My Account_Payment/Transaction history page/Transaction page/Transactions filter""))",Chrome 122.0.0.0,,,27-02-2024 15:18:58,27-02-2024 15:18:58,0.606s,PASSED
"click(findTestObject(""My Account_Payment/Transaction history page/Transaction page/Deposit Requests""))",Chrome 122.0.0.0,,,27-02-2024 15:18:58,27-02-2024 15:18:58,0.285s,PASSED
delay(2),Chrome 122.0.0.0,,,27-02-2024 15:18:58,27-02-2024 15:19:00,2.008s,PASSED
takeFullPageScreenshot(),Chrome 122.0.0.0,,,27-02-2024 15:19:00,27-02-2024 15:19:01,0.451s,PASSED
,,,,,,,
Test Cases/My Account/Payment_ Successful Withdraw,Chrome 122.0.0.0,"Expected Result: To check whether the user is able to withdraw 
Actual Result: The user is able to withdraw",My Account,27-02-2024 15:19:01,27-02-2024 15:19:34,33.070s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,27-02-2024 15:19:01,27-02-2024 15:19:02,0.831s,PASSED
"navigateToUrl(""https://haboom.com/"")",Chrome 122.0.0.0,,,27-02-2024 15:19:02,27-02-2024 15:19:09,7.099s,PASSED
"setText(findTestObject(""My Account_Payment/Deposit Bank Transfer/login to My haboom account/Login username""), ""Sherlock"")",Chrome 122.0.0.0,,,27-02-2024 15:19:09,27-02-2024 15:19:12,3.071s,PASSED
"setText(findTestObject(""My Account_Payment/My Account page/Login Password""), ""Eternals@123"")",Chrome 122.0.0.0,,,27-02-2024 15:19:12,27-02-2024 15:19:15,2.545s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/Login Button""))",Chrome 122.0.0.0,,,27-02-2024 15:19:15,27-02-2024 15:19:16,1.130s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/My Account""))",Chrome 122.0.0.0,,,27-02-2024 15:19:16,27-02-2024 15:19:22,5.883s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/My Haboom Account""))",Chrome 122.0.0.0,,,27-02-2024 15:19:22,27-02-2024 15:19:26,4.961s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Payments""))",Chrome 122.0.0.0,,,27-02-2024 15:19:26,27-02-2024 15:19:27,0.523s,PASSED
"click(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Withdraw""))",Chrome 122.0.0.0,,,27-02-2024 15:19:27,27-02-2024 15:19:29,1.658s,PASSED
"setText(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Withdraw amount entery field""), ""100"")",Chrome 122.0.0.0,,,27-02-2024 15:19:29,27-02-2024 15:19:29,0.629s,PASSED
"click(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Withdraw button""))",Chrome 122.0.0.0,,,27-02-2024 15:19:29,27-02-2024 15:19:30,0.492s,PASSED
"setText(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Account holder name""), ""Sherlock"")",Chrome 122.0.0.0,,,27-02-2024 15:19:30,27-02-2024 15:19:31,1.020s,PASSED
"setText(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Account number""), ""5896478963245187"")",Chrome 122.0.0.0,,,27-02-2024 15:19:31,27-02-2024 15:19:31,0.558s,PASSED
"setText(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Account IFSC code""), ""SBIN0000800"")",Chrome 122.0.0.0,,,27-02-2024 15:19:31,27-02-2024 15:19:32,0.603s,PASSED
"click(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Withdraw Submit button""))",Chrome 122.0.0.0,,,27-02-2024 15:19:32,27-02-2024 15:19:32,0.277s,PASSED
delay(1),Chrome 122.0.0.0,,,27-02-2024 15:19:32,27-02-2024 15:19:33,1.013s,PASSED
takeFullPageScreenshot(),Chrome 122.0.0.0,,,27-02-2024 15:19:33,27-02-2024 15:19:34,0.714s,PASSED
,,,,,,,
Test Cases/My Account/payment_ withdraw Error display for insufficient funds,Chrome 122.0.0.0,"Expected result: To check the presence of error message for insufficient funds
Actual result: The error message display for insufficient funds",My Account,27-02-2024 15:19:34,27-02-2024 15:20:08,33.886s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,27-02-2024 15:19:34,27-02-2024 15:19:35,1.101s,PASSED
"navigateToUrl(""https://haboom.com/"")",Chrome 122.0.0.0,,,27-02-2024 15:19:35,27-02-2024 15:19:42,6.620s,PASSED
"setText(findTestObject(""My Account_Payment/My Account page/Login Username""), ""Sherlock"")",Chrome 122.0.0.0,,,27-02-2024 15:19:42,27-02-2024 15:19:45,2.856s,PASSED
"setText(findTestObject(""My Account_Payment/My Account page/Login Password""), ""Eternals@123"")",Chrome 122.0.0.0,,,27-02-2024 15:19:45,27-02-2024 15:19:48,3.643s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/Login Button""))",Chrome 122.0.0.0,,,27-02-2024 15:19:48,27-02-2024 15:19:49,0.657s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/My Account""))",Chrome 122.0.0.0,,,27-02-2024 15:19:49,27-02-2024 15:19:54,5.213s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/My Haboom Account""))",Chrome 122.0.0.0,,,27-02-2024 15:19:54,27-02-2024 15:19:58,4.020s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Payments""))",Chrome 122.0.0.0,,,27-02-2024 15:19:58,27-02-2024 15:19:59,0.650s,PASSED
"click(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Withdraw""))",Chrome 122.0.0.0,,,27-02-2024 15:19:59,27-02-2024 15:20:00,1.587s,PASSED
"setText(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Withdraw amount entery field""), ""10000"")",Chrome 122.0.0.0,,,27-02-2024 15:20:00,27-02-2024 15:20:01,0.663s,PASSED
"click(findTestObject(""My Account_Payment/Withdraw/Withdraw page/Withdraw button""))",Chrome 122.0.0.0,,,27-02-2024 15:20:01,27-02-2024 15:20:02,0.960s,PASSED
